,1,2,bool
[CH2]C(=[C])C=C([CH])Br,2,2,True
[CH]=CC(=C[C])Br,6,6,True
COC(=C([CH2])[CH])C=[CH],38,38,True
[CH2]CC(=C([CH])Cl)C=[C],1,1,True
[CH2]C(=C(C=[CH])Cl)[CH],6,6,True
[R1]N([CH2])CC[N],5,5,True
[R1]C(=C([CH])[O])C=[C],3,3,True
[R1]C(=[C])C=C([CH])Br,4,4,True
[R1]C(=C[C])C=[C],9,9,True
[R1]C(=[CH])C=C([CH])[O],3,3,True
COC(=C[C])C=[C],3,3,True
[CH]=C(C=C([CH])[O])[O],3,3,True
[R1]C(=C([CH])Cl)C=[C],1,1,True
[CH]C(=[C])F,184,184,True
[R1]C(=C([CH])F)C=[CH],60,60,True
[CH]C=CC(=[C])F,57,57,True
[R1]C(=C(C=[CH])F)[CH],20,20,True
[R1]C1CCCC1,20,20,True
[CH2]CCC([CH2])[CH2],11,11,True
[CH2]CC(=C([CH])F)C=[CH],12,12,True
[CH2]C(=C(C=[CH])F)[CH],38,38,True
[CH2]CC(=C([CH])[O])C=[CH],24,24,True
[R1]C(C)(C)[CH2],63,63,True
[C]CO,22,22,True
[R1]C(C)(C)CO,21,21,True
[R1]CCC(=[CH])[S],7,7,True
[CH]C[O],94,94,True
[R1]C(CC)C[O],22,22,True
[R1]C([CH2])CC,38,38,True
[R1]C([CH2])COC,22,22,True
COC[CH],68,68,True
[CH]CO,23,23,True
[R1]C(CO)CO,7,7,True
[R1]C([CH2])CO,23,23,True
[R1]C(CC)CO,16,16,True
[R1]CCO,17,17,True
[CH2]C(F)(F)F,20,20,True
[R1]CC(F)(F)F,20,20,True
[R1]CC(=[C])[CH],33,33,True
[R1]CC(=C([CH])F)C=[CH],20,20,True
[R1]C(C)C[O],30,30,True
[R1]C(C)COC,30,30,True
[R1]C(=O)[CH2],47,47,True
[C]C[C],63,63,True
[R1]C(=O)C[C],18,18,True
[R1]C(=O)CC(=[C])[CH],8,8,True
[CH]=CC(=C([CH])F)C[C],4,4,True
[CH]=CC(=C([CH])[O])C[C],4,4,True
[R1]C(=O)CC(=[CH])[CH],6,6,True
[CH]=CC(=C[CH])C[C],51,51,True
[R1]C(=O)[O],8,8,True
[R1]C(=O)O[CH2],4,4,True
[R1]C(=O)OC[C],4,4,True
[CH]=C([CH])CO[C],4,4,True
[CH]=CC(=C[CH])C[O],4,4,True
[R1]C(=O)[NH],8,8,True
[C]N[C],30,30,True
[R1]C(=O)N[C],3,3,True
[R1]C(=O)NC(=[C])[CH],2,2,True
[CH]=CC(=C([CH])F)N[C],1,1,True
[CH]=CC(=C([CH])[NH])F,1,1,True
[CH]=CC(=C([CH])[O])N[C],1,1,True
COC(=C([CH])[NH])C=[CH],1,1,True
[R1]C(=O)N[CH2],4,4,True
[R1]C(=O)NC[C],4,4,True
[CH]C(=[C])CN[C],3,3,True
[CH]=CC(=C([CH])F)C[NH],16,16,True
[CH]=CC(=C([CH])[O])C[NH],9,9,True
[CH2]C([CH])[C],82,82,True
[CH]C(=O)[O],9,9,True
CC[O],36,36,True
[R1]C(C[CH2])C([CH2])[C],9,9,True
[CH2]CCC([CH])[C],9,9,True
[R1]C([CH2])C(C[CH2])C(=O)[O],9,9,True
[CH2]C([CH])C(=O)O[CH2],9,9,True
CCOC(=O)[CH],9,9,True
CCO[C],36,36,True
[CH]CC(C(=[C])[CH])O,1,1,True
CC(C)CC([C])O,1,1,True
[R1]C(=C(C=[CH])C([CH2])N)[CH],3,3,True
[CH]CC(C(=[C])[CH])N,3,3,True
[R1]C(=C(CO)C=[CH])[CH],1,1,True
[CH]C(=[C])CO,1,1,True
CC([CH2])([C])O,1,1,True
[R1]C(=C(C=[CH])C(C)([CH2])O)[CH],1,1,True
CC(C[CH2])(C(=[C])[CH])O,1,1,True
CCCC(C)([C])O,1,1,True
CCC[C],9,9,True
[CH2]C([CH2])([C])O,1,1,True
CC[C],22,22,True
[R1]C(=C(C=[CH])C([CH2])([CH2])O)[CH],1,1,True
CCC(CC)(C(=[C])[CH])O,1,1,True
CCC([CH2])([C])O,1,1,True
[R1]C(=O)C[O],1,1,True
[R1]C(=O)COC,1,1,True
